 station number,Year,Month,Day,Maximum temperature (Degree C),solar exposure,max wind speed
86282,2021,12,1,32.7,19.2,106
86282,2021,12,2,32.6,19.8,50
86282,2021,12,3,20.5,29.2,39
86282,2021,12,4,18.8,13.5,43
86282,2021,12,5,21.1,28.7,37
86282,2021,12,6,26.8,27.7,70
86282,2021,12,7,14.9,5.1,41
86282,2021,12,8,16.8,21.7,54
86282,2021,12,9,16.7,6.6,52
86282,2021,12,10,18.7,17.1,48
86282,2021,12,11,22.1,19.9,39
86282,2021,12,12,28.3,31.5,37
86282,2021,12,13,32.2,23.6,54
86282,2021,12,14,23.3,28.8,31
86282,2021,12,15,16.6,3.4,31
86282,2021,12,16,21.2,30.1,39
86282,2021,12,17,30.3,29.2,39
86282,2021,12,18,34.9,29.2,65
86282,2021,12,19,23.9,12.1,94
86282,2021,12,20,28.8,31.9,52
86282,2021,12,21,26.9,31.9,35
86282,2021,12,22,20.5,19.9,37
86282,2021,12,23,21.1,26.2,37
86282,2021,12,24,28.1,32,31
86282,2021,12,25,22.8,21.4,52
86282,2021,12,26,19.1,14.4,52
86282,2021,12,27,23.3,25.4,57
86282,2021,12,28,23.6,29.5,41
86282,2021,12,29,26.3,31.4,37
86282,2021,12,30,34.6,29.5,39
86282,2021,12,31,38.3,31.1,56
86282,2022,1,1,38.4,20.5,54
86282,2022,1,2,32.6,26.3,44
86282,2022,1,3,21.8,27.4,44
86282,2022,1,4,22.9,6.8,35
86282,2022,1,5,30.1,15.9,54
86282,2022,1,6,30.6,21.5,44
86282,2022,1,7,27,12.9,61
86282,2022,1,8,20.8,11.8,33
86282,2022,1,9,23.3,28.1,31
86282,2022,1,10,31.6,29.1,37
86282,2022,1,11,29.3,26.5,46
86282,2022,1,12,30.5,28.3,46
86282,2022,1,13,35.2,26,46
86282,2022,1,14,33.4,21.7,52
86282,2022,1,15,25.3,16.6,39
86282,2022,1,16,31.5,29.9,33
86282,2022,1,17,25,20.4,48
86282,2022,1,18,22.8,19.5,48
86282,2022,1,19,27.7,30.1,57
86282,2022,1,20,29.8,30,33
86282,2022,1,21,31.7,29.7,56
86282,2022,1,22,33.3,29.4,57
86282,2022,1,23,34.1,27.6,48
86282,2022,1,24,35.1,27.4,44
86282,2022,1,25,34.4,28.2,41
86282,2022,1,26,37.3,26.2,48
86282,2022,1,27,33.3,25.2,65
86282,2022,1,28,34.5,13.5,65
86282,2022,1,29,21.6,8.2,35
86282,2022,1,30,28.7,18.3,35
86282,2022,1,31,35.2,22,39
86282,2022,2,1,25.4,8.1,56
86282,2022,2,2,19.3,10.7,52
86282,2022,2,3,18.7,11.7,56
86282,2022,2,4,23.6,26.2,50
86282,2022,2,5,26.3,27.2,39
86282,2022,2,6,27.9,26.6,44
86282,2022,2,7,28.4,28.1,46
86282,2022,2,8,31.1,26.7,52
86282,2022,2,9,32,13.9,41
86282,2022,2,10,24,18,43
86282,2022,2,11,22.3,20.3,48
86282,2022,2,12,28.8,26.9,37
86282,2022,2,13,33.3,21.5,78
86282,2022,2,14,34.6,26.1,56
86282,2022,2,15,24.9,18.5,30
86282,2022,2,16,27.7,13,24
86282,2022,2,17,24.1,16.8,37
86282,2022,2,18,22.3,17.9,54
86282,2022,2,19,24.4,25.6,33
86282,2022,2,20,29.5,19.6,50
86282,2022,2,21,20.8,20.3,46
86282,2022,2,22,24.9,25.1,43
86282,2022,2,23,33.2,19.4,44
86282,2022,2,24,23.9,11.9,35
86282,2022,2,25,23.7,15.3,44
86282,2022,2,26,29.3,23.2,39
86282,2022,2,27,26.8,15.5,28
86282,2022,2,28,25.8,11.4,31
